Importing IMU data from the Matlab matrix file : test_data/xsens_acc.mat
Importing IMU data from the Matlab matrix file : test_data/xsens_gyro.mat
Accelerometer Calibration: Calibrating...
Accelerometers Calibration: Extracted 42 intervals using threshold multiplier 2 -> Trying calibrate... 
iter      cost      cost_change  |gradient|   |step|    tr_ratio  tr_radius  ls_iter  iter_time  total_time
  26  2.688780e+17    1.14e+16    1.18e+18   1.46e+00   5.92e-01  1.48e+00        1    8.75e-04    2.05e-02
  27  2.578782e+17    1.10e+16    1.15e+18   1.36e+00   5.90e-01  1.49e+00        1    9.00e-04    2.14e-02
  28  2.472682e+17    1.06e+16    1.12e+18   1.27e+00   5.89e-01  1.50e+00        1    8.28e-04    2.22e-02
  29  2.370402e+17    1.02e+16    1.09e+18   1.20e+00   5.87e-01  1.51e+00        1    8.28e-04    2.31e-02
  30  2.271857e+17    9.85e+15    1.06e+18   1.13e+00   5.86e-01  1.52e+00        1    8.28e-04    2.39e-02
  31  2.176958e+17    9.49e+15    1.03e+18   1.07e+00   5.84e-01  1.52e+00        1    8.73e-04    2.48e-02
  32  2.085612e+17    9.13e+15    9.98e+17   1.02e+00   5.83e-01  1.53e+00        1    7.93e-04    2.56e-02
  33  1.997724e+17    8.79e+15    9.69e+17   9.69e-01   5.81e-01  1.54e+00        1    7.93e-04    2.64e-02
  34  1.913196e+17    8.45e+15    9.42e+17   9.24e-01   5.80e-01  1.54e+00        1    7.93e-04    2.72e-02
  35  1.831931e+17    8.13e+15    9.14e+17   8.82e-01   5.79e-01  1.55e+00        1    7.94e-04    2.80e-02
  36  1.753831e+17    7.81e+15    8.87e+17   8.43e-01   5.78e-01  1.56e+00        1    8.40e-04    2.88e-02
  37  1.678797e+17    7.50e+15    8.61e+17   8.08e-01   5.77e-01  1.56e+00        1    8.28e-04    2.97e-02
  38  1.606731e+17    7.21e+15    8.36e+17   7.75e-01   5.76e-01  1.57e+00        1    8.12e-04    3.05e-02
  39  1.537538e+17    6.92e+15    8.11e+17   7.45e-01   5.74e-01  1.57e+00        1    8.13e-04    3.13e-02
  40  1.471120e+17    6.64e+15    7.86e+17   7.17e-01   5.73e-01  1.58e+00        1    8.12e-04    3.21e-02
  41  1.407384e+17    6.37e+15    7.63e+17   6.92e-01   5.72e-01  1.58e+00        1    8.15e-04    3.29e-02
  42  1.346238e+17    6.11e+15    7.39e+17   6.68e-01   5.71e-01  1.59e+00        1    8.12e-04    3.38e-02
  43  1.287589e+17    5.86e+15    7.17e+17   6.47e-01   5.71e-01  1.59e+00        1    8.13e-04    3.46e-02
  44  1.231350e+17    5.62e+15    6.95e+17   6.27e-01   5.70e-01  1.60e+00        1    8.12e-04    3.54e-02
  45  1.177432e+17    5.39e+15    6.73e+17   6.10e-01   5.69e-01  1.60e+00        1    8.13e-04    3.62e-02
  46  1.125752e+17    5.17e+15    6.53e+17   5.94e-01   5.68e-01  1.60e+00        1    8.15e-04    3.70e-02
  47  1.076225e+17    4.95e+15    6.32e+17   5.79e-01   5.67e-01  1.61e+00        1    8.12e-04    3.79e-02
  48  1.028772e+17    4.75e+15    6.12e+17   5.66e-01   5.66e-01  1.61e+00        1    8.13e-04    3.87e-02
  49  9.833141e+16    4.55e+15    5.93e+17   5.55e-01   5.66e-01  1.62e+00        1    8.12e-04    3.95e-02
